opp_id,account_id,deal_name,stage,amount,close_date,probability,next_step
OPP-00052,SF-00028,E-Enable Open-Source E-Tailers,Proposal,177521.55,2026-03-28,50,You arm material light how open.
OPP-00053,SF-00029,Exploit Sticky Info-Mediaries,Proposal,242846.47,2026-03-28,50,Drug situation huge pressure require there management.
OPP-00054,SF-00029,Optimize Leading-Edge Convergence,Closed Won,297783.96,2026-03-28,100,
OPP-00055,SF-00030,Engage Cutting-Edge E-Services,Closed Lost,454403.06,2026-03-28,0,
OPP-00056,SF-00030,Deliver Synergistic Relationships,Proposal,437595.14,2026-03-28,50,Production indeed her machine.
OPP-00057,SF-00031,Matrix 24/7 Infrastructures,Closed Won,395860.3,2026-03-28,100,
OPP-00058,SF-00031,Extend Enterprise Metrics,Closed Won,406392.42,2026-03-28,100,
OPP-00059,SF-00032,Redefine Turn-Key Eyeballs,Proposal,5703.54,2026-03-28,50,Catch which woman shoulder in.
OPP-00060,SF-00033,Brand Value-Added Markets,Closed Won,10058.29,2026-03-28,100,
OPP-00061,SF-00034,Morph One-To-One Action-Items,Closed Won,465157.26,2026-03-28,100,
OPP-00062,SF-00034,Cultivate Cutting-Edge Niches,Prospecting,457270.65,2026-03-28,10,Face not themselves.
OPP-00063,SF-00034,Architect Web-Enabled Content,Closed Won,461594.26,2026-03-28,100,
OPP-00064,SF-00035,Engineer Compelling Markets,Closed Won,405047.93,2026-03-28,100,
OPP-00065,SF-00035,Enhance Value-Added Methodologies,Closed Won,406818.1,2026-03-28,100,
OPP-00066,SF-00035,Deliver Extensible E-Business,Qualification,299109.68,2026-03-28,25,Mean seek yeah.
OPP-00067,SF-00036,Orchestrate Proactive Initiatives,Proposal,218803.42,2026-03-28,50,Woman character statement yeah culture.
OPP-00068,SF-00036,Incentivize Cross-Media Niches,Proposal,392838.34,2026-03-28,50,East late do.
OPP-00069,SF-00037,Target Intuitive Channels,Negotiation,254542.54,2026-03-28,75,Other travel Republican finish.
OPP-00070,SF-00037,Generate Compelling E-Services,Closed Won,261389.68,2026-03-28,100,
OPP-00071,SF-00038,Synergize Scalable Methodologies,Closed Won,136662.88,2026-03-28,100,
OPP-00072,SF-00039,Evolve B2B Niches,Proposal,360243.79,2026-03-28,50,Eye scene politics stage determine.
OPP-00073,SF-00039,Envisioneer Ubiquitous Supply-Chains,Closed Won,31038.2,2026-03-28,100,
OPP-00074,SF-00040,Harness Bleeding-Edge Eyeballs,Closed Won,392869.9,2026-03-28,100,
OPP-00075,SF-00041,Re-Contextualize Bleeding-Edge Markets,Closed Won,162265.59,2026-03-28,100,
OPP-00076,SF-00041,E-Enable B2C Infrastructures,Qualification,89975.47,2026-03-28,25,Past perhaps material.
OPP-00077,SF-00042,Re-Intermediate Enterprise Schemas,Proposal,355986.18,2026-03-28,50,Throw five away suddenly baby.
OPP-00078,SF-00042,Transition Integrated Convergence,Closed Won,160808.51,2026-03-28,100,
OPP-00079,SF-00042,Visualize Mission-Critical E-Tailers,Closed Won,33688.58,2026-03-28,100,
OPP-00080,SF-00043,Aggregate Enterprise Supply-Chains,Closed Lost,70532.57,2026-03-28,0,
OPP-00081,SF-00043,Enhance Efficient E-Business,Proposal,182656.05,2026-03-28,50,Hit answer change almost tree national center first.
OPP-00082,SF-00043,Innovate Plug-And-Play Methodologies,Proposal,424927.84,2026-03-28,50,Baby cover media hear great husband expect also.
OPP-00083,SF-00044,Exploit Global Metrics,Closed Won,342129.28,2026-03-28,100,
OPP-00084,SF-00045,Strategize Next-Generation Platforms,Qualification,154319.84,2026-03-28,25,Effect region say world wear interview.
OPP-00085,SF-00045,Grow Scalable Web-Readiness,Closed Won,96287.76,2026-03-28,100,
OPP-00086,SF-00045,Architect Transparent Vortals,Prospecting,268115.07,2026-03-28,10,Challenge across inside guess.
OPP-00087,SF-00046,Innovate Open-Source Applications,Closed Lost,99170.13,2026-03-28,0,
OPP-00088,SF-00046,Seize Enterprise Users,Proposal,458601.42,2026-03-28,50,Computer big commercial mention western.
OPP-00089,SF-00046,Architect World-Class Portals,Closed Won,71980.29,2026-03-28,100,
OPP-00090,SF-00047,Morph Virtual Interfaces,Proposal,149486.26,2026-03-28,50,Trial human time for source blood draw.
OPP-00091,SF-00047,Unleash Back-End Experiences,Proposal,49034.8,2026-03-28,50,Age agreement fly become sign.
OPP-00092,SF-00048,Syndicate User-Centric Metrics,Closed Won,254724.8,2026-03-28,100,
OPP-00093,SF-00049,Deliver Efficient E-Markets,Closed Won,55879.84,2026-03-28,100,
OPP-00094,SF-00050,Evolve B2B Systems,Closed Lost,307519.8,2026-03-28,0,
OPP-00095,SF-00051,Expedite Holistic Users,Negotiation,265081.79,2026-03-28,75,Spend doctor area hair whole.
OPP-00096,SF-00052,Facilitate End-To-End Channels,Closed Won,433150.89,2026-03-28,100,
OPP-00097,SF-00052,Redefine B2C Channels,Closed Lost,70275.62,2026-03-28,0,
OPP-00098,SF-00053,Repurpose Proactive Paradigms,Closed Lost,35968.73,2026-03-28,0,
OPP-00099,SF-00053,Reinvent Revolutionary Schemas,Closed Won,67425.91,2026-03-28,100,
OPP-00100,SF-00053,Drive Cross-Platform Partnerships,Closed Won,337749.54,2026-03-28,100,
OPP-00101,SF-00054,Incentivize Magnetic Initiatives,Closed Lost,155663.88,2026-03-28,0,
OPP-00102,SF-00055,Disintermediate Global Methodologies,Proposal,489617.31,2026-03-28,50,Politics skill again thing agency game.
OPP-00103,SF-00056,Engage Cross-Platform Synergies,Prospecting,24446.34,2026-03-28,10,Attorney matter condition value about sign reflect.
OPP-00104,SF-00057,Revolutionize Granular Supply-Chains,Qualification,254162.45,2026-03-28,25,Generation meeting floor.
OPP-00105,SF-00057,Enable 24/365 Vortals,Closed Won,382053.6,2026-03-28,100,
OPP-00106,SF-00058,Evolve Real-Time Technologies,Qualification,291030.93,2026-03-28,25,Without Republican choose similar environment.
OPP-00107,SF-00058,Monetize Cross-Platform Models,Closed Lost,176079.23,2026-03-28,0,
OPP-00108,SF-00059,Incentivize Granular Infrastructures,Closed Won,450585.43,2026-03-28,100,
OPP-00109,SF-00060,Visualize Granular Web Services,Proposal,449889.26,2026-03-28,50,Develop technology already ever more gas with learn.
OPP-00110,SF-00060,Integrate Bleeding-Edge Channels,Prospecting,42816.08,2026-03-28,10,Probably free wind water.
OPP-00111,SF-00061,Aggregate Visionary Architectures,Prospecting,445794.11,2026-03-28,10,Any yard social life.
OPP-00112,SF-00061,Cultivate Holistic E-Markets,Closed Won,271203.27,2026-03-28,100,
OPP-00113,SF-00061,Visualize Holistic Action-Items,Qualification,214106.0,2026-03-28,25,Fact agree professional seem.
OPP-00114,SF-00062,Enable Open-Source Synergies,Proposal,338654.8,2026-03-28,50,Memory them wish despite Republican tend.
OPP-00115,SF-00062,Optimize Ubiquitous Markets,Qualification,73045.15,2026-03-28,25,Evidence practice star government.
OPP-00116,SF-00063,Redefine Dot-Com E-Commerce,Qualification,184914.85,2026-03-28,25,Quite surface which yeah couple serious year.
OPP-00117,SF-00063,Grow Frictionless Partnerships,Closed Won,227840.06,2026-03-28,100,
OPP-00118,SF-00063,Implement Viral Methodologies,Qualification,101407.39,2026-03-28,25,Decide by air field eye politics activity.
OPP-00119,SF-00064,Leverage Rich Metrics,Proposal,39485.05,2026-03-28,50,Matter management machine everybody.
OPP-00120,SF-00064,Morph Plug-And-Play Systems,Closed Won,21530.31,2026-03-28,100,
OPP-00121,SF-00065,Envisioneer Web-Enabled Models,Closed Won,277172.26,2026-03-28,100,
OPP-00122,SF-00066,Maximize Extensible Schemas,Prospecting,48509.25,2026-03-28,10,Next section whether glass hit.
OPP-00123,SF-00066,Engage Rich E-Commerce,Closed Won,340498.29,2026-03-28,100,
OPP-00124,SF-00066,Productize Dot-Com Platforms,Qualification,254911.6,2026-03-28,25,View about song quite stage.
OPP-00125,SF-00067,Strategize Killer Platforms,Closed Won,214913.02,2026-03-28,100,
OPP-00126,SF-00068,E-Enable Integrated Methodologies,Proposal,56592.93,2026-03-28,50,Oil such human red public.
OPP-00127,SF-00068,Strategize Next-Generation Synergies,Closed Won,499107.76,2026-03-28,100,
OPP-00128,SF-00068,Utilize Rich E-Commerce,Closed Won,426733.98,2026-03-28,100,
OPP-00129,SF-00069,Drive Leading-Edge Applications,Proposal,448071.53,2026-03-28,50,Born send least difficult religious structure.
OPP-00130,SF-00069,Exploit Extensible E-Business,Qualification,312880.02,2026-03-28,25,Avoid news read coach fly.
OPP-00131,SF-00070,Matrix Cross-Media Niches,Prospecting,29366.18,2026-03-28,10,Fast form left even business program community church.
OPP-00132,SF-00070,Optimize Out-Of-The-Box Web Services,Closed Lost,33759.26,2026-03-28,0,
OPP-00133,SF-00070,Expedite Visionary Architectures,Negotiation,44241.12,2026-03-28,75,Be herself firm accept tonight miss both.
OPP-00134,SF-00071,Disintermediate Plug-And-Play Niches,Negotiation,489549.82,2026-03-28,75,Sense air few mean wish visit who.
OPP-00135,SF-00071,Repurpose Value-Added Eyeballs,Negotiation,37111.85,2026-03-28,75,Standard rock century effort administration somebody.
OPP-00136,SF-00071,Incentivize Extensible Channels,Closed Won,410930.75,2026-03-28,100,
OPP-00137,SF-00072,Target World-Class Communities,Negotiation,140921.2,2026-03-28,75,Mean as front first.
OPP-00138,SF-00072,Whiteboard Seamless E-Business,Closed Won,292426.72,2026-03-28,100,
OPP-00139,SF-00073,Drive Global Paradigms,Qualification,180987.31,2026-03-28,25,Deal believe arm cause increase.
OPP-00140,SF-00073,Cultivate Rich Relationships,Closed Lost,304776.94,2026-03-28,0,
OPP-00141,SF-00073,Whiteboard Compelling Roi,Closed Lost,162222.6,2026-03-28,0,
OPP-00142,SF-00074,Deliver Cross-Platform Bandwidth,Closed Won,491703.34,2026-03-28,100,
OPP-00143,SF-00074,Utilize Out-Of-The-Box Web-Readiness,Closed Won,133227.55,2026-03-28,100,
OPP-00144,SF-00075,Maximize Collaborative Relationships,Proposal,208468.14,2026-03-28,50,Save work stage push bar.
OPP-00145,SF-00075,Whiteboard Sticky E-Business,Negotiation,456284.01,2026-03-28,75,American exactly write edge rise.
OPP-00146,SF-00075,Benchmark Strategic Users,Closed Won,149038.34,2026-03-28,100,
OPP-00147,SF-00076,Streamline Visionary Architectures,Closed Won,149792.28,2026-03-28,100,
OPP-00148,SF-00076,Enable Clicks-And-Mortar Vortals,Negotiation,243958.82,2026-03-28,75,Television huge center everything call.
OPP-00149,SF-00076,Syndicate Bleeding-Edge Mindshare,Prospecting,267942.58,2026-03-28,10,Pass child late economic song.
OPP-00150,SF-00077,Utilize Innovative Action-Items,Prospecting,296513.51,2026-03-28,10,Cause company food first age.
OPP-00151,SF-00078,Streamline User-Centric Channels,Closed Won,287577.28,2026-03-28,100,
OPP-00152,SF-00078,Matrix Robust Eyeballs,Proposal,35092.39,2026-03-28,50,Box bill anything.
OPP-00153,SF-00078,Disintermediate Transparent Paradigms,Prospecting,174503.61,2026-03-28,10,Our hotel carry claim and.
OPP-00154,SF-00079,Facilitate Granular Interfaces,Negotiation,246273.46,2026-03-28,75,Majority might reason majority.
OPP-00155,SF-00079,Synergize 24/7 Channels,Proposal,125089.18,2026-03-28,50,Nor should oil thousand upon edge.
OPP-00156,SF-00080,Generate One-To-One Synergies,Negotiation,192175.58,2026-03-28,75,Middle wear woman.
OPP-00157,SF-00080,Orchestrate Cross-Platform Portals,Prospecting,431369.85,2026-03-28,10,Tell second deep.
OPP-00158,SF-00080,Re-Contextualize One-To-One Web Services,Closed Won,162381.54,2026-03-28,100,
OPP-00159,SF-00081,Harness Rich Architectures,Qualification,77108.58,2026-03-28,25,Nor kind product truth per.
OPP-00160,SF-00082,Visualize Strategic E-Markets,Prospecting,224397.21,2026-03-28,10,Home hotel physical contain involve.
OPP-00161,SF-00082,Extend Strategic Mindshare,Qualification,402223.57,2026-03-28,25,Career whole me political simple him recently.
OPP-00162,SF-00083,Strategize User-Centric Roi,Prospecting,328613.2,2026-03-28,10,Development keep food realize serve form.
OPP-00163,SF-00083,Transition Cross-Media Niches,Closed Won,135420.6,2026-03-28,100,
OPP-00164,SF-00083,Deploy 24/365 Solutions,Negotiation,325213.19,2026-03-28,75,Then concern prove shoulder.
OPP-00165,SF-00084,Grow Scalable Vortals,Closed Won,380234.74,2026-03-28,100,
OPP-00166,SF-00084,Empower Value-Added Communities,Negotiation,469743.09,2026-03-28,75,Watch training behavior use community difference yes.
OPP-00167,SF-00084,Extend Open-Source Deliverables,Closed Won,445974.9,2026-03-28,100,
OPP-00168,SF-00085,Visualize Back-End Experiences,Proposal,83249.77,2026-03-28,50,His state put benefit.
OPP-00169,SF-00085,Synergize Plug-And-Play E-Markets,Closed Lost,101293.78,2026-03-28,0,
OPP-00170,SF-00085,Monetize Bricks-And-Clicks Channels,Closed Won,135224.23,2026-03-28,100,
OPP-00171,SF-00086,Deliver Clicks-And-Mortar E-Tailers,Closed Won,436459.25,2026-03-28,100,
OPP-00172,SF-00086,Transform B2C Web-Readiness,Prospecting,478067.9,2026-03-28,10,Dinner treat score save.
OPP-00173,SF-00087,Leverage Intuitive Infrastructures,Prospecting,131402.84,2026-03-28,10,Type them necessary admit cold both area.
OPP-00174,SF-00087,Architect Vertical Action-Items,Closed Won,36385.51,2026-03-28,100,
OPP-00175,SF-00087,Monetize 24/7 Architectures,Negotiation,410805.2,2026-03-28,75,Project against section feeling control visit serve.
OPP-00176,SF-00088,Target Ubiquitous Web Services,Closed Won,71743.37,2026-03-28,100,
OPP-00177,SF-00089,Re-Contextualize Cross-Platform Applications,Negotiation,148467.14,2026-03-28,75,Argue involve ability memory culture.
OPP-00178,SF-00089,E-Enable E-Business Action-Items,Prospecting,358530.49,2026-03-28,10,To situation sit evening teach range.
OPP-00179,SF-00089,Deliver Compelling Eyeballs,Prospecting,474212.17,2026-03-28,10,Even yet paper discover bar general spring.
OPP-00180,SF-00090,Synergize Cross-Media Functionalities,Closed Won,323290.67,2026-03-28,100,
OPP-00181,SF-00090,Monetize Intuitive Bandwidth,Closed Won,396222.35,2026-03-28,100,
OPP-00182,SF-00090,Incubate Cross-Platform Supply-Chains,Proposal,6363.51,2026-03-28,50,Hotel energy see item health book interview.
OPP-00183,SF-00091,Redefine Scalable Niches,Prospecting,460010.43,2026-03-28,10,Require really whose evidence pull past.
OPP-00184,SF-00091,Brand Vertical Web Services,Negotiation,141451.75,2026-03-28,75,Listen this series talk else.
OPP-00185,SF-00092,Synthesize Plug-And-Play Models,Qualification,229111.35,2026-03-28,25,Better still take show.
OPP-00186,SF-00092,Deliver Holistic Eyeballs,Prospecting,124210.85,2026-03-28,10,Sing meet choice hold across teach daughter.
OPP-00187,SF-00093,Enhance User-Centric E-Markets,Proposal,271002.28,2026-03-28,50,Five pay make near.
OPP-00188,SF-00094,Optimize Cross-Platform Supply-Chains,Qualification,89879.22,2026-03-28,25,Give choose tough so term subject visit.
OPP-00189,SF-00094,Unleash Strategic Paradigms,Closed Lost,195320.46,2026-03-28,0,
OPP-00190,SF-00095,Generate Compelling Channels,Qualification,176845.61,2026-03-28,25,Meet big run often.
OPP-00191,SF-00096,Streamline Revolutionary Markets,Prospecting,225731.52,2026-03-28,10,Month structure partner big yard.
OPP-00192,SF-00096,Integrate Bleeding-Edge Interfaces,Closed Won,54852.07,2026-03-28,100,
OPP-00193,SF-00096,Strategize Proactive Solutions,Prospecting,106225.56,2026-03-28,10,Manage nor hundred author collection.
OPP-00194,SF-00097,Syndicate Interactive Technologies,Proposal,229109.3,2026-03-28,50,Society involve help able often.
OPP-00195,SF-00098,E-Enable Leading-Edge Niches,Qualification,60388.56,2026-03-28,25,Tax able management offer ball.
OPP-00196,SF-00098,Morph Frictionless E-Tailers,Closed Won,338356.2,2026-03-28,100,
OPP-00197,SF-00098,Scale Granular Markets,Closed Lost,251702.28,2026-03-28,0,
OPP-00198,SF-00099,Monetize Holistic Deliverables,Proposal,158386.73,2026-03-28,50,Foreign shoulder blood.
OPP-00199,SF-00099,Empower Magnetic Synergies,Closed Lost,95482.99,2026-03-28,0,
OPP-00200,SF-00099,Productize Innovative Functionalities,Prospecting,69349.75,2026-03-28,10,Main small those case available listen.
OPP-00201,SF-00100,Matrix Frictionless Action-Items,Closed Lost,307542.74,2026-03-28,0,
OPP-00202,SF-00101,Morph Mission-Critical Channels,Negotiation,128711.28,2026-03-28,75,Conference society financial figure bank sit free.
OPP-00203,SF-00102,Generate Cross-Platform Portals,Closed Lost,310786.37,2026-03-28,0,
OPP-00204,SF-00102,Enhance Web-Enabled Experiences,Closed Won,356755.24,2026-03-28,100,
OPP-00205,SF-00102,Brand 24/7 Roi,Closed Won,300896.41,2026-03-28,100,
OPP-00206,SF-00103,Deliver Strategic Partnerships,Closed Won,415609.82,2026-03-28,100,
OPP-00207,SF-00103,E-Enable Vertical Systems,Closed Won,24612.48,2026-03-28,100,
OPP-00208,SF-00104,Engineer 24/7 Models,Negotiation,296903.73,2026-03-28,75,Base her less first.
OPP-00209,SF-00104,Evolve Turn-Key Models,Qualification,42895.26,2026-03-28,25,Form large already bill.
OPP-00210,SF-00104,Repurpose Vertical Eyeballs,Closed Won,415060.14,2026-03-28,100,
OPP-00211,SF-00105,Maximize 24/7 Web Services,Proposal,406927.09,2026-03-28,50,Camera should ever exactly trip result different.
OPP-00212,SF-00106,Re-Contextualize Distributed Channels,Closed Won,147943.07,2026-03-28,100,
OPP-00213,SF-00106,Expedite Plug-And-Play Metrics,Prospecting,79419.21,2026-03-28,10,Listen fast improve reveal represent wife.
OPP-00214,SF-00106,Seize Next-Generation Roi,Closed Lost,302119.41,2026-03-28,0,
OPP-00215,SF-00107,Scale Extensible Synergies,Proposal,335055.67,2026-03-28,50,Hard its protect campaign painting level.
OPP-00216,SF-00107,Re-Intermediate Innovative Interfaces,Prospecting,164100.03,2026-03-28,10,Pull use inside detail.
OPP-00217,SF-00107,Maximize Next-Generation Infrastructures,Prospecting,457659.32,2026-03-28,10,There how natural personal style cost line.
OPP-00218,SF-00108,Synthesize Cross-Platform Info-Mediaries,Closed Won,407465.36,2026-03-28,100,
OPP-00219,SF-00108,Generate Integrated Niches,Proposal,409386.75,2026-03-28,50,Quality third tree system ball fish serious.
OPP-00220,SF-00109,Exploit Sticky E-Markets,Negotiation,69555.11,2026-03-28,75,Education billion technology certainly save Congress charge.
OPP-00221,SF-00109,Deploy Ubiquitous E-Services,Negotiation,154501.95,2026-03-28,75,Professor fish course bit something.
OPP-00222,SF-00110,Morph Plug-And-Play Supply-Chains,Negotiation,292255.73,2026-03-28,75,Age white unit form rock happen.
OPP-00223,SF-00110,Disintermediate Ubiquitous E-Business,Closed Lost,145027.2,2026-03-28,0,
OPP-00224,SF-00110,Repurpose Back-End Eyeballs,Proposal,278178.53,2026-03-28,50,Very discuss case natural art just me.
OPP-00225,SF-00111,Reinvent B2C Initiatives,Qualification,268282.01,2026-03-28,25,Top choose news type management.
OPP-00226,SF-00112,Whiteboard Integrated Markets,Prospecting,229038.92,2026-03-28,10,Officer remain drug since example ground health medical.
OPP-00227,SF-00112,Monetize Back-End Action-Items,Proposal,230885.19,2026-03-28,50,Say analysis third between.
OPP-00228,SF-00112,Implement Front-End Relationships,Closed Lost,166960.47,2026-03-28,0,
OPP-00229,SF-00113,Engineer Front-End Mindshare,Prospecting,439884.22,2026-03-28,10,Energy take floor health range style call draw.
OPP-00230,SF-00113,Grow Next-Generation Schemas,Closed Won,107896.83,2026-03-28,100,
OPP-00231,SF-00114,Deliver World-Class Networks,Qualification,321068.08,2026-03-28,25,Economy half case you forget low.
OPP-00232,SF-00114,Incubate Open-Source Architectures,Closed Lost,87472.84,2026-03-28,0,
OPP-00233,SF-00115,Deliver Collaborative Methodologies,Negotiation,110270.79,2026-03-28,75,Describe same understand the example important arrive teacher.
OPP-00234,SF-00115,Transition Bricks-And-Clicks Methodologies,Closed Won,461821.98,2026-03-28,100,
OPP-00235,SF-00116,Enable Seamless Models,Closed Won,344112.72,2026-03-28,100,
OPP-00236,SF-00116,Matrix Vertical Supply-Chains,Proposal,45393.52,2026-03-28,50,About environmental ago return.
OPP-00237,SF-00116,Optimize Strategic Systems,Closed Lost,363975.72,2026-03-28,0,
OPP-00238,SF-00117,Deliver Sticky Experiences,Qualification,499371.18,2026-03-28,25,Tend skill beautiful.
OPP-00239,SF-00118,Incubate Sticky Interfaces,Closed Won,480496.12,2026-03-28,100,
OPP-00240,SF-00118,Aggregate Killer E-Services,Qualification,59572.55,2026-03-28,25,Read top ability world party military floor sure.
OPP-00241,SF-00118,Syndicate Collaborative Markets,Negotiation,353398.69,2026-03-28,75,If something once change media.
OPP-00242,SF-00119,Cultivate Collaborative Convergence,Closed Won,249100.3,2026-03-28,100,
OPP-00243,SF-00119,Reinvent Wireless Niches,Closed Won,229264.08,2026-03-28,100,
OPP-00244,SF-00119,Re-Contextualize Rich Applications,Qualification,83887.38,2026-03-28,25,Safe case fight beyond leave share page.
OPP-00245,SF-00120,Facilitate Frictionless Architectures,Proposal,377800.96,2026-03-28,50,Turn sing realize family word.
OPP-00246,SF-00120,Re-Contextualize Revolutionary Vortals,Qualification,73394.63,2026-03-28,25,Term half sing wind spend.
OPP-00247,SF-00120,Expedite Leading-Edge Niches,Proposal,315854.85,2026-03-28,50,Place region several report both action according past.
OPP-00248,SF-00121,Seize Extensible Systems,Proposal,481129.29,2026-03-28,50,Customer court camera heavy.
OPP-00249,SF-00121,Brand Out-Of-The-Box Methodologies,Closed Lost,355799.4,2026-03-28,0,
OPP-00250,SF-00121,Re-Intermediate Intuitive Experiences,Closed Won,105737.52,2026-03-28,100,
OPP-00251,SF-00122,Extend Magnetic Platforms,Prospecting,221677.97,2026-03-28,10,Seem personal step performance.
OPP-00252,SF-00122,Synthesize Cross-Media Platforms,Qualification,453289.74,2026-03-28,25,North something information finally arm.
OPP-00253,SF-00122,Strategize Holistic Portals,Prospecting,359511.98,2026-03-28,10,Indeed ahead law set.
OPP-00254,SF-00123,Syndicate Global Supply-Chains,Proposal,418704.33,2026-03-28,50,History inside continue music various serve.
OPP-00255,SF-00124,Engineer End-To-End Systems,Negotiation,22187.17,2026-03-28,75,Third also financial special animal.
