tracking_id,shipping_ref,carrier_name,expected_date,delivery_date,status_code,weight_kg,destination_zip
TRK-QW25244233,SH-uvM-663651,Marshall Ltd Logistics,07/01/2024,07/03/2024,4,13.9,12422
TRK-hC13277342,SH-jEj-714708,"Harris, Adams and Martin Logistics",03/31/2025,04/03/2025,4,39.9,57468
TRK-Pr97970998,SH-ZxY-590960,"Harris, Adams and Martin Logistics",07/25/2025,07/28/2025,4,17.5,48307
TRK-RI22059798,SH-rqO-730306,"Harris, Adams and Martin Logistics",02/23/2025,02/22/2025,4,49.4,36858
TRK-Hh55427305,SH-TCA-214614,"Harris, Adams and Martin Logistics",08/16/2024,08/19/2024,4,21.9,54380
TRK-hw30818328,SH-Wtk-420165,"Harris, Adams and Martin Logistics",05/05/2025,,3,44.1,75515
TRK-XK57267687,SH-wSK-677826,"Harris, Adams and Martin Logistics",09/04/2024,09/03/2024,4,9.1,72494
TRK-KZ76059127,SH-Nju-089319,"Griffin, Brown and Lawrence Logistics",01/21/2025,01/20/2025,4,7.4,65302
TRK-JQ28824635,SH-uhY-502727,"Griffin, Brown and Lawrence Logistics",08/09/2025,08/09/2025,4,21.2,45746
TRK-wy93210985,SH-OCO-648072,Kramer and Sons Logistics,03/27/2026,03/28/2026,4,4.5,42775
TRK-MO76801782,SH-XkM-103368,"Harris, Adams and Martin Logistics",03/15/2026,,6,49.0,22971
TRK-wO68898515,SH-xbt-533905,Kramer and Sons Logistics,01/08/2025,01/11/2025,4,19.3,13745
TRK-hX96578169,SH-wwI-817766,"Harris, Adams and Martin Logistics",01/19/2026,,5,13.4,61730
TRK-pw23140415,SH-lJM-512765,Johnson-Griffin Logistics,03/16/2026,03/16/2026,4,46.3,40366
TRK-LV81370268,SH-gfZ-664649,Marshall Ltd Logistics,08/10/2024,08/09/2024,4,34.2,86500
TRK-pw20058209,SH-IgO-096179,Marshall Ltd Logistics,06/07/2024,06/07/2024,4,16.2,59557
TRK-QX44181469,SH-Jyh-046337,"Griffin, Brown and Lawrence Logistics",06/04/2025,06/07/2025,4,7.8,45436
TRK-Tq07141580,SH-xYo-157660,"Johnson, Davies and Cortez Logistics",03/16/2025,03/18/2025,4,40.9,55272
TRK-GT57211872,SH-Aca-444630,Marshall Ltd Logistics,04/11/2025,,6,44.1,98877
TRK-mx84359790,SH-BpJ-895529,Jordan-Carter Logistics,11/12/2025,11/15/2025,4,2.3,50576
TRK-aF51169986,SH-iOy-396096,Johnson-Griffin Logistics,03/21/2026,03/21/2026,4,16.6,65319
TRK-Rv84031059,SH-GhO-826312,"Johnson, Davies and Cortez Logistics",01/28/2026,01/28/2026,4,22.4,97262
TRK-qQ32508580,SH-ffb-648253,Woodard-Guzman Logistics,06/01/2025,06/02/2025,4,2.8,18854
TRK-iV67269668,SH-Kyb-920981,Kramer and Sons Logistics,02/25/2025,03/02/2025,4,38.2,39646
TRK-NC94746925,SH-tmI-275233,Johnson-Griffin Logistics,09/27/2025,10/02/2025,4,48.2,55075
TRK-nW92465840,SH-ObO-640412,Johnson-Griffin Logistics,12/21/2025,12/21/2025,4,48.2,43983
TRK-EJ26212040,SH-jsq-117911,"Johnson, Davies and Cortez Logistics",04/07/2026,04/10/2026,4,28.2,40678
TRK-YZ43710031,SH-gFY-117536,Marshall Ltd Logistics,01/21/2026,01/20/2026,4,11.7,42472
TRK-cz39120408,SH-uOC-171366,"Harris, Adams and Martin Logistics",05/01/2024,05/03/2024,4,22.4,26701
TRK-bt76315869,SH-chv-240299,Woodard-Guzman Logistics,11/24/2025,11/25/2025,4,13.9,47980
TRK-Dg13293113,SH-Vqh-998028,Jordan-Carter Logistics,04/09/2025,04/09/2025,4,47.4,73659
TRK-Ed34830863,SH-nxh-080882,Jordan-Carter Logistics,09/06/2024,09/07/2024,4,12.8,14415
TRK-er26770794,SH-Emf-231244,"Johnson, Davies and Cortez Logistics",05/04/2024,05/04/2024,4,34.7,17338
TRK-rR82488314,SH-zmq-847768,Woodard-Guzman Logistics,12/24/2024,12/25/2024,4,9.1,56488
TRK-QF82040180,SH-kYn-461994,Kramer and Sons Logistics,08/17/2024,,5,28.0,80811
TRK-xo49800659,SH-gMy-769459,Johnson-Griffin Logistics,04/05/2025,04/05/2025,4,5.3,33644
TRK-MB79576513,SH-cGq-955172,"Griffin, Brown and Lawrence Logistics",02/20/2025,02/20/2025,4,42.1,07203
TRK-Oa13132107,SH-hlZ-498560,"Griffin, Brown and Lawrence Logistics",06/18/2025,06/19/2025,4,18.3,97371
TRK-Oi32472712,SH-xjX-253135,Kramer and Sons Logistics,11/29/2024,12/01/2024,4,37.9,39918
TRK-sK63948418,SH-KYu-050537,Marshall Ltd Logistics,11/26/2024,11/25/2024,4,44.8,66572
TRK-ag69350285,SH-Hng-816493,"Griffin, Brown and Lawrence Logistics",01/25/2026,01/25/2026,4,30.0,34790
TRK-RA68977353,SH-umm-919665,Marshall Ltd Logistics,05/18/2025,05/18/2025,4,15.1,99484
TRK-Oc86669617,SH-hCk-770461,Johnson-Griffin Logistics,05/14/2024,05/16/2024,4,15.7,24314
TRK-Sk77591107,SH-bPY-963904,Johnson-Griffin Logistics,06/23/2025,06/22/2025,4,12.8,34148
TRK-bp83516701,SH-IHc-074260,"Harris, Adams and Martin Logistics",01/01/2026,12/31/2025,4,41.6,89543
TRK-Tu77565869,SH-Wwz-716445,Johnson-Griffin Logistics,04/21/2024,04/24/2024,4,37.2,77666
TRK-gL46738522,SH-SDF-579064,Jordan-Carter Logistics,06/07/2024,06/12/2024,4,32.5,59881
TRK-MW66458071,SH-dai-159103,"Harris, Adams and Martin Logistics",12/28/2025,12/28/2025,4,30.4,08555
TRK-zj64570024,SH-UZx-563213,Marshall Ltd Logistics,07/03/2024,07/03/2024,4,37.7,76974
TRK-OL56680511,SH-dte-800401,"Griffin, Brown and Lawrence Logistics",11/23/2025,11/25/2025,4,36.9,40283
TRK-Uy72594877,SH-hiu-642297,"Harris, Adams and Martin Logistics",08/25/2025,08/26/2025,4,17.2,16092
TRK-SX26853140,SH-pKE-967188,"Griffin, Brown and Lawrence Logistics",12/30/2025,01/02/2026,4,18.4,00888
TRK-bx02376736,SH-Tfw-573144,Kramer and Sons Logistics,04/03/2026,04/04/2026,4,41.8,11643
TRK-Vl71364459,SH-naQ-331170,Jordan-Carter Logistics,05/20/2025,05/21/2025,4,31.6,32391
TRK-fi64997985,SH-LWH-637153,Johnson-Griffin Logistics,09/18/2024,09/18/2024,4,12.6,39492
TRK-Ml61255956,SH-iox-547281,Marshall Ltd Logistics,04/23/2025,04/23/2025,4,24.8,32793
TRK-cm18314256,SH-erB-798363,Johnson-Griffin Logistics,01/20/2025,01/20/2025,4,33.2,47658
TRK-Gq18373391,SH-pbD-912711,Marshall Ltd Logistics,11/15/2024,11/15/2024,4,28.3,85759
TRK-Hx86061504,SH-hJf-078754,Kramer and Sons Logistics,08/24/2024,08/29/2024,4,15.4,40803
TRK-Vd87439002,SH-vdC-326868,Kramer and Sons Logistics,12/31/2024,12/30/2024,4,40.8,66726
TRK-yr91409646,SH-mzl-106634,"Harris, Adams and Martin Logistics",11/01/2024,11/01/2024,4,36.4,24244
TRK-Xs49418275,SH-RdP-897861,"Griffin, Brown and Lawrence Logistics",06/16/2025,06/16/2025,4,2.2,90746
TRK-FO30714174,SH-rpe-131009,Marshall Ltd Logistics,10/18/2024,10/18/2024,4,25.9,14392
TRK-kn57499647,SH-goU-439666,Johnson-Griffin Logistics,05/08/2025,05/08/2025,4,46.3,57404
TRK-ak61176147,SH-OsT-473235,"Harris, Adams and Martin Logistics",12/11/2025,12/12/2025,4,39.2,58951
TRK-gg94049861,SH-VtS-012897,Woodard-Guzman Logistics,06/17/2025,06/17/2025,4,16.9,59149
TRK-wp24789146,SH-jaQ-512257,Jordan-Carter Logistics,10/06/2024,10/06/2024,4,12.7,97113
TRK-fU46192400,SH-RWa-502412,"Johnson, Davies and Cortez Logistics",03/28/2025,03/28/2025,4,32.7,18809
TRK-ZH02989554,SH-hcb-790737,"Johnson, Davies and Cortez Logistics",06/27/2025,06/30/2025,4,31.1,16433
TRK-ns72673129,SH-Xgg-438822,"Johnson, Davies and Cortez Logistics",05/23/2025,05/23/2025,4,17.6,06131
TRK-OP47211745,SH-QFq-577584,"Griffin, Brown and Lawrence Logistics",11/14/2024,11/14/2024,4,44.4,56146
TRK-jb02671406,SH-Ehr-054589,"Johnson, Davies and Cortez Logistics",01/11/2025,01/11/2025,4,27.7,95151
TRK-JM96317864,SH-Fbp-026325,"Johnson, Davies and Cortez Logistics",08/26/2025,08/29/2025,4,39.6,59520
TRK-KG14396600,SH-Ogr-653136,"Harris, Adams and Martin Logistics",06/16/2025,06/17/2025,4,21.4,51647
TRK-cm78000133,SH-vzL-878245,"Johnson, Davies and Cortez Logistics",01/05/2026,01/05/2026,4,7.7,38517
TRK-TJ90257510,SH-SvN-443098,Marshall Ltd Logistics,02/09/2025,02/12/2025,4,8.3,85400
TRK-Xb19390154,SH-FRj-795410,Johnson-Griffin Logistics,07/12/2024,07/17/2024,4,1.1,42042
TRK-KF62695951,SH-tFs-284982,"Johnson, Davies and Cortez Logistics",03/20/2025,03/23/2025,4,26.4,43444
TRK-MP39895476,SH-Lhd-407034,"Griffin, Brown and Lawrence Logistics",06/03/2024,06/05/2024,4,1.9,01695
TRK-Kx94158631,SH-sYG-500425,Jordan-Carter Logistics,04/15/2024,04/14/2024,4,15.7,75411
TRK-Qk03579062,SH-BLf-821423,Kramer and Sons Logistics,08/10/2025,,3,23.2,35520
TRK-XV81392942,SH-zgq-075366,Johnson-Griffin Logistics,11/07/2024,11/07/2024,4,10.6,68485
TRK-ck72765114,SH-ZLi-942965,"Griffin, Brown and Lawrence Logistics",02/11/2026,02/14/2026,4,48.4,06018
TRK-yE07310652,SH-ttf-342683,Woodard-Guzman Logistics,08/19/2025,08/19/2025,4,43.5,64582
TRK-bs67639171,SH-iHC-782661,"Johnson, Davies and Cortez Logistics",11/14/2024,,5,12.7,89454
TRK-Sq34106286,SH-AAD-857567,"Harris, Adams and Martin Logistics",09/02/2025,09/04/2025,4,47.0,65889
TRK-qC92317611,SH-tYp-806129,Jordan-Carter Logistics,05/02/2024,05/01/2024,4,35.1,96346
TRK-ZB88244815,SH-izQ-989406,Jordan-Carter Logistics,01/07/2025,01/06/2025,4,28.6,37028
TRK-wM26439694,SH-Pgv-870104,Jordan-Carter Logistics,04/17/2024,,3,44.2,14738
TRK-TG51161314,SH-VLR-497501,Woodard-Guzman Logistics,06/19/2025,06/20/2025,4,30.3,81777
TRK-lp71955146,SH-oRO-382872,"Johnson, Davies and Cortez Logistics",09/13/2025,09/13/2025,4,43.2,02917
TRK-Dz13718932,SH-hea-440793,Jordan-Carter Logistics,12/24/2025,,3,33.5,56257
TRK-Ws52685307,SH-bGC-813317,"Griffin, Brown and Lawrence Logistics",01/22/2026,,3,31.0,95566
TRK-Zq40143664,SH-IqN-146723,Woodard-Guzman Logistics,01/30/2025,01/30/2025,4,19.4,96279
TRK-WV69024666,SH-jVQ-916202,Woodard-Guzman Logistics,08/22/2025,08/24/2025,4,36.1,37080
TRK-Ko50299718,SH-sQg-883774,Marshall Ltd Logistics,10/03/2024,10/03/2024,4,46.2,33221
TRK-Uq19472352,SH-Bjb-466176,Marshall Ltd Logistics,04/12/2025,04/11/2025,4,16.3,69307
TRK-tj80719631,SH-cPP-196094,"Griffin, Brown and Lawrence Logistics",11/02/2024,11/02/2024,4,22.9,74941
TRK-hj18516862,SH-UDr-970527,"Griffin, Brown and Lawrence Logistics",01/29/2026,01/29/2026,4,43.8,40082
TRK-Pm39081597,SH-THy-258835,"Johnson, Davies and Cortez Logistics",04/19/2024,04/24/2024,4,16.9,20326
TRK-ql48319159,SH-zeP-957244,"Johnson, Davies and Cortez Logistics",08/04/2024,08/03/2024,4,37.2,75548
TRK-NG68945729,SH-qiS-792988,Johnson-Griffin Logistics,03/28/2025,04/02/2025,4,30.0,58488
TRK-ZM26071870,SH-cbU-959961,Woodard-Guzman Logistics,12/06/2024,12/11/2024,4,17.7,58510
TRK-bK52851329,SH-XZU-117753,Jordan-Carter Logistics,08/07/2024,08/08/2024,4,48.5,94411
TRK-Mu71373884,SH-qhc-266109,Kramer and Sons Logistics,07/01/2024,07/02/2024,4,33.8,68177
TRK-QS34358497,SH-ugS-175902,Woodard-Guzman Logistics,12/26/2025,,5,38.4,23499
TRK-Ks77913450,SH-FCR-298334,Woodard-Guzman Logistics,03/06/2025,03/11/2025,4,28.7,73816
TRK-vA32616764,SH-LbO-326831,Marshall Ltd Logistics,10/31/2024,,5,4.4,70596
TRK-DS79468576,SH-XAK-130205,"Harris, Adams and Martin Logistics",03/22/2026,03/27/2026,4,6.9,67432
TRK-cN63405829,SH-nKE-152873,Woodard-Guzman Logistics,05/19/2025,05/19/2025,4,39.9,86124
TRK-Dn70468322,SH-BOy-598217,Johnson-Griffin Logistics,04/18/2025,,6,33.0,89743
TRK-pO59471455,SH-hFo-912841,"Johnson, Davies and Cortez Logistics",01/04/2026,01/03/2026,4,40.1,40629
TRK-PU01099866,SH-yTw-850344,Woodard-Guzman Logistics,05/24/2024,05/25/2024,4,16.2,98305
TRK-bS47990737,SH-NGt-418938,Johnson-Griffin Logistics,01/08/2026,,3,38.7,58637
TRK-Vl43487500,SH-Pbc-081974,Marshall Ltd Logistics,01/24/2025,01/23/2025,4,27.2,74525
TRK-sl80965590,SH-JUv-435023,Woodard-Guzman Logistics,12/14/2024,,3,7.7,95129
TRK-FF16851635,SH-SWZ-037199,Kramer and Sons Logistics,02/23/2026,02/22/2026,4,41.5,20874
TRK-pA08979188,SH-Eir-169918,"Harris, Adams and Martin Logistics",05/01/2024,,5,38.3,10984
TRK-YU64569398,SH-bdb-356743,"Griffin, Brown and Lawrence Logistics",04/11/2025,04/13/2025,4,3.7,17813
TRK-TH16119958,SH-Edy-389608,Johnson-Griffin Logistics,10/21/2025,10/22/2025,4,8.3,21673
TRK-dd42781083,SH-ChN-266821,Jordan-Carter Logistics,10/20/2025,10/20/2025,4,36.8,99179
TRK-kE07537142,SH-fLa-356033,Jordan-Carter Logistics,01/08/2025,,5,38.2,53029
TRK-oo90362644,SH-edi-890030,Johnson-Griffin Logistics,10/01/2024,09/30/2024,4,28.8,17453
TRK-iy78855749,SH-siM-405593,Marshall Ltd Logistics,02/21/2025,02/24/2025,4,45.9,19426
TRK-cp77730236,SH-FTV-111483,Kramer and Sons Logistics,01/30/2025,01/31/2025,4,26.0,13954
TRK-Fo65087551,SH-PpH-374584,Jordan-Carter Logistics,11/23/2025,11/23/2025,4,36.5,76137
TRK-GJ92051771,SH-TNF-881056,"Johnson, Davies and Cortez Logistics",11/27/2024,11/28/2024,4,3.9,72641
TRK-Hh74944231,SH-nhx-328348,"Johnson, Davies and Cortez Logistics",10/23/2024,10/23/2024,4,15.0,09247
TRK-UC40731919,SH-Fcr-037710,"Harris, Adams and Martin Logistics",11/05/2025,11/08/2025,4,41.5,46396
TRK-wV68326704,SH-yFb-641049,Marshall Ltd Logistics,10/27/2024,10/28/2024,4,33.0,57488
TRK-vq98763486,SH-lQB-670336,"Harris, Adams and Martin Logistics",01/01/2026,,6,1.8,61170
TRK-No22303085,SH-Wvq-408509,"Harris, Adams and Martin Logistics",04/27/2025,04/29/2025,4,29.9,72432
TRK-dk87056768,SH-BYU-930596,Marshall Ltd Logistics,11/27/2025,11/29/2025,4,42.1,02977
TRK-kC34723312,SH-DBK-018648,Marshall Ltd Logistics,02/17/2026,,6,10.0,72425
TRK-Td08108887,SH-ZRr-673204,Marshall Ltd Logistics,10/24/2024,10/23/2024,4,44.9,26705
TRK-WG44480773,SH-cNr-384596,"Johnson, Davies and Cortez Logistics",06/15/2024,,6,45.1,92491
TRK-Lz34536535,SH-qlC-901495,Marshall Ltd Logistics,08/04/2025,08/05/2025,4,31.9,72800
TRK-cu56838905,SH-OJn-707057,Jordan-Carter Logistics,03/13/2025,03/14/2025,4,6.1,21022
TRK-rb68667656,SH-eCl-914985,"Griffin, Brown and Lawrence Logistics",02/06/2025,02/09/2025,4,49.5,52830
TRK-XW00930374,SH-jNP-447232,Jordan-Carter Logistics,10/12/2024,10/15/2024,4,37.4,06249
TRK-JS06392494,SH-ucJ-102879,"Harris, Adams and Martin Logistics",05/13/2024,05/12/2024,4,1.7,35501
TRK-QZ03133837,SH-TcM-044058,Marshall Ltd Logistics,09/16/2025,09/15/2025,4,25.8,61786
TRK-CO42842851,SH-epn-118718,"Johnson, Davies and Cortez Logistics",10/03/2024,10/02/2024,4,18.1,65336
TRK-AL56565884,SH-buM-561642,Johnson-Griffin Logistics,12/12/2024,12/11/2024,4,29.7,91164
TRK-yG18165463,SH-bkx-565749,"Griffin, Brown and Lawrence Logistics",11/10/2025,11/09/2025,4,29.3,95872
TRK-fC05245795,SH-ZuG-290193,Woodard-Guzman Logistics,05/12/2024,05/17/2024,4,34.1,06476
TRK-yw64952761,SH-cQU-895369,Woodard-Guzman Logistics,09/09/2025,09/10/2025,4,13.3,46402
TRK-SY32266426,SH-OJU-113989,"Johnson, Davies and Cortez Logistics",08/02/2024,08/02/2024,4,7.6,43933
TRK-Ap19762126,SH-HCu-180978,Johnson-Griffin Logistics,02/17/2025,02/22/2025,4,30.1,41609
TRK-GO05705917,SH-oDu-943535,Marshall Ltd Logistics,10/30/2024,10/31/2024,4,7.3,64440
TRK-in66342833,SH-JGe-376515,"Griffin, Brown and Lawrence Logistics",07/04/2024,07/09/2024,4,7.9,96855
TRK-gf83562737,SH-KiI-793763,Jordan-Carter Logistics,02/07/2026,02/08/2026,4,40.2,75061
TRK-tb18206045,SH-vuh-692944,Kramer and Sons Logistics,10/10/2024,,5,4.9,79659
TRK-sI68230113,SH-lDa-682973,Marshall Ltd Logistics,06/11/2024,06/11/2024,4,17.1,22955
TRK-Xm65512878,SH-cBb-648712,"Johnson, Davies and Cortez Logistics",08/07/2024,,6,26.5,36881
TRK-oM81957146,SH-izS-288665,"Johnson, Davies and Cortez Logistics",04/03/2026,04/03/2026,4,10.3,62928
TRK-Dd09035529,SH-NgU-415599,Marshall Ltd Logistics,05/25/2025,05/25/2025,4,26.6,78603
TRK-pn65017727,SH-WES-576764,Marshall Ltd Logistics,05/10/2024,,3,47.4,69638
TRK-pg32976911,SH-LxR-981209,Jordan-Carter Logistics,08/15/2024,08/17/2024,4,41.4,69229
TRK-XW83365894,SH-rXg-657289,"Johnson, Davies and Cortez Logistics",07/31/2025,08/03/2025,4,2.6,20675
TRK-oE78381645,SH-Bsu-098898,Kramer and Sons Logistics,04/15/2025,04/16/2025,4,45.1,52828
TRK-Ft61418013,SH-rKN-220368,Kramer and Sons Logistics,01/21/2025,01/22/2025,4,49.2,24714
TRK-tT58711671,SH-FCo-542144,Kramer and Sons Logistics,12/01/2024,12/01/2024,4,24.9,17548
TRK-NC27541095,SH-jgn-449134,"Harris, Adams and Martin Logistics",01/18/2026,01/21/2026,4,11.9,41570
TRK-Cg68542066,SH-IZm-820908,Jordan-Carter Logistics,05/10/2025,05/15/2025,4,1.9,24304
TRK-qj49443485,SH-UCH-053496,Woodard-Guzman Logistics,04/16/2024,04/18/2024,4,48.2,04088
TRK-SR98609784,SH-Fqf-741176,"Harris, Adams and Martin Logistics",07/15/2024,07/14/2024,4,46.9,67121
TRK-QP38939242,SH-ukG-415131,"Johnson, Davies and Cortez Logistics",01/07/2026,01/07/2026,4,12.1,68046
TRK-Ij11236293,SH-gTY-781506,"Griffin, Brown and Lawrence Logistics",12/08/2024,12/07/2024,4,30.5,66863
TRK-ou87778731,SH-Lyo-380032,Woodard-Guzman Logistics,04/28/2025,04/28/2025,4,26.0,02256
TRK-bP35743395,SH-sim-472727,"Harris, Adams and Martin Logistics",08/18/2025,08/19/2025,4,20.2,25408
TRK-bD97886304,SH-FJN-183061,Johnson-Griffin Logistics,07/19/2025,07/20/2025,4,3.0,38552
TRK-pg19888866,SH-OLp-206496,Woodard-Guzman Logistics,09/11/2024,09/10/2024,4,25.6,95096
TRK-QZ83674633,SH-QFF-782434,Jordan-Carter Logistics,07/26/2025,,3,4.2,89756
TRK-iZ03494670,SH-goh-695874,"Harris, Adams and Martin Logistics",11/10/2025,11/11/2025,4,43.1,86790
TRK-Jd76806704,SH-hlD-467536,"Johnson, Davies and Cortez Logistics",03/08/2026,03/08/2026,4,21.8,26203
TRK-Yp83430690,SH-MAR-156277,Jordan-Carter Logistics,03/13/2026,,5,43.2,42011
TRK-Na56416720,SH-qRu-836085,Kramer and Sons Logistics,11/18/2024,11/17/2024,4,10.6,57361
TRK-bn91221898,SH-FUo-766404,Marshall Ltd Logistics,02/02/2025,02/01/2025,4,4.0,87184
TRK-Jd26310138,SH-kIn-047639,Johnson-Griffin Logistics,12/20/2024,12/21/2024,4,12.0,73962
TRK-mh62966292,SH-bUb-995298,Marshall Ltd Logistics,07/05/2024,07/06/2024,4,8.1,75378
TRK-wo12266755,SH-Hnx-155810,"Griffin, Brown and Lawrence Logistics",11/16/2025,11/18/2025,4,33.6,71452
TRK-FR37357998,SH-xvA-286342,"Griffin, Brown and Lawrence Logistics",05/02/2025,05/02/2025,4,8.3,95173
TRK-JX34689391,SH-GzY-300081,Jordan-Carter Logistics,09/07/2024,09/07/2024,4,39.4,45273
TRK-mJ21479599,SH-crV-244033,Johnson-Griffin Logistics,04/05/2025,,5,27.0,55561
TRK-Vq93830385,SH-eGU-662411,Kramer and Sons Logistics,07/06/2024,07/07/2024,4,38.1,60111
TRK-hZ28959421,SH-gVL-600892,Johnson-Griffin Logistics,09/05/2025,09/04/2025,4,42.7,35945
TRK-bs58561978,SH-trD-945680,"Harris, Adams and Martin Logistics",08/25/2024,08/24/2024,4,42.6,73740
TRK-HW18902901,SH-foA-497646,"Griffin, Brown and Lawrence Logistics",08/30/2024,08/29/2024,4,31.9,11030
TRK-JI81407294,SH-bFU-748836,Johnson-Griffin Logistics,05/26/2025,05/26/2025,4,25.3,27375
TRK-RZ18100705,SH-bzX-581739,"Harris, Adams and Martin Logistics",01/21/2025,,6,42.5,64637
TRK-gr37733987,SH-gJk-914521,Kramer and Sons Logistics,01/09/2025,01/08/2025,4,44.3,05771
TRK-lb96198432,SH-NEH-793126,Woodard-Guzman Logistics,09/08/2024,09/08/2024,4,29.0,26498
TRK-FZ25440813,SH-Vvj-307464,Kramer and Sons Logistics,06/04/2025,06/04/2025,4,45.6,22222
TRK-Xp77631151,SH-WJY-996043,Marshall Ltd Logistics,05/12/2024,05/13/2024,4,16.9,53894
TRK-Wf65130679,SH-GJV-753577,Johnson-Griffin Logistics,04/07/2025,04/08/2025,4,16.6,27858
TRK-HV38434631,SH-kHV-161620,Marshall Ltd Logistics,06/13/2024,,3,41.5,37957
TRK-MQ76124062,SH-kOZ-371067,"Griffin, Brown and Lawrence Logistics",07/09/2024,07/12/2024,4,48.6,27177
TRK-QF78954047,SH-hBs-286604,"Harris, Adams and Martin Logistics",04/29/2025,04/30/2025,4,45.8,63580
TRK-gH93208284,SH-Pkj-485959,Johnson-Griffin Logistics,09/24/2025,,3,8.5,83454
TRK-Fh89469584,SH-EDn-395894,"Johnson, Davies and Cortez Logistics",11/13/2024,11/18/2024,4,33.6,27402
TRK-jH68643681,SH-Alj-228705,Kramer and Sons Logistics,09/18/2025,09/19/2025,4,22.5,09312
TRK-vA17310521,SH-Dvg-043318,Marshall Ltd Logistics,03/16/2025,,3,20.0,24424
TRK-NR78312342,SH-owO-792158,"Harris, Adams and Martin Logistics",06/01/2024,06/01/2024,4,46.8,83936
